scenario,seed,S,T0,N,max.followup.time,dropout.rate,sigma.e,reg1.name,reg2.name,reg3.name,reg4.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg1.trtmt.hr,reg2.trtmt.hr,reg3.trtmt.hr,reg4.trtmt.hr
1,429311,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
2,44630,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
3,857619,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
4,884614,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
5,179754,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
6,822939,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
7,699903,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
8,85311,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
9,867148,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
10,732196,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
11,38563,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
12,447348,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
13,854069,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
14,336948,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
15,314533,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
16,946924,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
17,181245,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
18,290944,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
19,512171,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
20,625194,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
