scenario,seed,S,T0,N,trtmt.allctn,cntrl.mean,sd.Y,reg1.name,reg2.name,reg3.name,reg4.name,reg5.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg5.allctn,reg1.trtmt.mean,reg2.trtmt.mean,reg3.trtmt.mean,reg4.trtmt.mean,reg5.trtmt.mean
1,365817,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
2,814741,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
3,840296,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
4,953843,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
5,797664,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
6,366411,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
7,334084,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
8,632303,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
9,804554,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
10,420236,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
11,188845,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
12,778529,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
13,728522,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
14,476290,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
15,400213,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
16,676755,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
17,88691,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
18,84571,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
19,133610,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
20,650091,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.099,0.099,0.099,0.116,0.116
